kata,jenis,pengucapan,penjelasan,arti,gambar
the,definite article,t͟hə,—D digunakan sebagai kata fungsi untuk menunjukkan bahwa kata benda atau nomina berikut adalah pasti atau sebelumnya telah ditentukan berdasarkan konteks atau oleh keadaan,itu,Default.jpg
of,preposition,əv,—D digunakan sebagai kata fungsi untuk menunjukkan titik perhitungan,dari,Default.jpg
and,conjunction,ən(d),—D digunakan sebagai kata fungsi untuk menunjukkan koneksi atau penambahan terutama item dalam kelas atau jenis yang sama - digunakan untuk bergabung dengan elemen kalimat dengan peringkat atau fungsi tata bahasa yang sama,Dan,Default.jpg
to,preposition,tə,"—D digunakan sebagai kata fungsi untuk menunjukkan gerakan atau tindakan atau kondisi yang menyarankan gerakan ke suatu tempat, orang, atau hal yang dicapai",ke,Default.jpg
a,noun,ˈā,huruf pertama dari alfabet bahasa Inggris,A,Default.jpg
in,preposition,ˈin,"—D digunakan sebagai kata fungsi untuk menunjukkan inklusi, lokasi, atau posisi dalam batas",di dalam,Default.jpg
for,preposition,fər,—D digunakan sebagai kata fungsi untuk menunjukkan tujuan,untuk,Default.jpg
is,be,is,menjadi,adalah,Default.jpg
on,preposition,ˈȯn,—D digunakan sebagai kata fungsi untuk menunjukkan posisi yang bersentuhan dengan dan didukung oleh permukaan atas,pada,Default.jpg
that,pronoun,ˈt͟hat,"Orang, benda, atau ide yang ditunjukkan, disebutkan, atau dipahami dari situasi tersebut",itu,Default.jpg
by,preposition,ˈbī,di dekatnya: dekat,oleh,Default.jpg
this,pronoun,ˈt͟his,"orang, benda, atau ide yang ada atau dekat di tempat, waktu, atau pemikiran atau yang baru saja disebutkan",ini,Default.jpg
with,preposition,ˈwit͟h,bertentangan dengan: melawan,dengan,Default.jpg
i,noun,ˈī,huruf ke -9 dari alfabet bahasa Inggris,Saya,Default.jpg
you,pronoun,ˈyü,yang satu atau yang ditangani - digunakan sebagai kata ganti orang kedua tunggal atau jamak dalam hubungan tata bahasa apa pun kecuali yang posesif - digunakan sebelumnya hanya sebagai kata ganti jamak dari orang kedua dalam kasus datif atau akusatif sebagai objek langsung atau tidak langsung atau tidak langsungdari kata kerja atau sebagai objek preposisi,Anda,Default.jpg
it,pronoun,ˈit,"yang satu itu - digunakan sebagai objek subjek atau langsung atau objek tidak langsung dari kata kerja atau objek preposisi yang biasanya mengacu pada hal yang tak bernyawa, tanaman, orang atau hewan yang jenis kelaminnya tidak diketahui atau diabaikan, sekelompok individu atau benda, atau bendaentitas abstrak",dia,Default.jpg
not,adverb,ˈnät,—D digunakan sebagai kata fungsi untuk membuat negatif sekelompok kata atau kata,bukan,Default.jpg
